group_project,n,vs_min,vs_med,vs_max,n_cpt
Bacso,31,62.3,349.0,482.9,2
Balazs Bela u,55,160.22927084196056,225.09300694348687,335.72412127806666,4
Budapart,186,153.52949138327185,242.03850172895093,580.7534828026721,15
Dunaterasz,43,140.1436187015576,256.3556830690226,485.3425983295048,3
Dévai 14,18,159.0,398.0,602.0,1
Futo u,31,170.0,319.0,481.0,2
Galeria,108,133.45529133277475,280.62897281249553,480.9,7
H6-H7,97,181.4,302.0,501.1,6
Hungaria krt,64,130.3,281.1172122856077,594.0,2
Lang,164,158.0,270.0,360.0,10
Marina,30,152.4065336873562,249.46628274298132,355.3165664289617,2
Paskal,21,157.3610543809992,211.45499754260985,284.8468157056311,2
Puskas,389,138.68254140664703,311.63967452618743,596.7310192112477,19
River,39,115.33052569156412,276.7262155606347,773.4776656548057,3
Tömő u. 23,28,135.77595066181453,214.3349733623937,462.6168452811813,2
