feature,importance
sigma_eff_kpa,0.05281304788120362
fs_mpa,0.04701864323426458
gamma_unsat_kn_m3,0.04649450038469489
log_fs_mpa_roll3,0.04577541847278466
sigma_v_kpa,0.04376916189322216
gamma_sat_kn_m3,0.04292388743858845
z_top_m,0.04072726661728462
log_sigma_eff_kpa_roll3,0.03862729161156169
z_bot_m,0.0381315433373131
log_sigma_eff_kpa,0.037453191888613416
log_sigma_v_kpa,0.03458245692720533
geo_age,0.03226546895866711
log_fs_mpa,0.031176231335168707
log_qc_mpa_roll3,0.030530465649316364
z_below_gwl_m,0.03014704717236877
u0_kpa,0.02995480440519494
z_mid_m,0.028119450025950166
log_z_mid_m,0.025925046116682535
z_rel_minmax,0.02462641210772487
below_gwl_ratio,0.022164971638675344
log_qt_mpa_roll3,0.020813772024127476
age_method,0.020169813040603828
log_qc_mpa,0.018008232739603818
depth_rank_pct,0.01800043163260925
qt_mpa,0.017517449969903256
log_qt_mpa,0.017469995160868206
qc_mpa,0.016210197174971498
depth_over_gwl,0.015451484305085455
test_method,0.015172663732645248
log_gwl_m,0.009226613463819106
log_rf_pct_roll3,0.008823390962124622
gwl_m,0.008344611533502065
qc_over_sigma_eff,0.008307293728537044
qt_over_sigma_eff,0.007955004516855973
log_rf_pct,0.006401986902464597
fs_over_qt,0.00609601254964586
log_u2_mpa,0.005022590609188917
rf_pct,0.0047966730235801695
z_above_gwl_m,0.004764304628382391
log_sigma_eff_kpa_local_resid_w3,0.004657161467351877
log_fs_mpa_local_resid_w3,0.0045664583289761465
log_qt_mpa_local_resid_w3,0.00448276706873589
u2_mpa,0.004356822547507389
log_qc_mpa_local_resid_w3,0.004330145856040964
bq,0.004147202336941192
log_qc_mpa_diff1,0.0037579125267640083
log_sigma_eff_kpa_diff1,0.003658775514945943
log_rf_pct_local_resid_w3,0.0036452175336654517
log_qt_mpa_diff1,0.003639423527989551
log_rf_pct_diff1,0.003635723078390686
log_fs_mpa_diff1,0.0033435614176868934
