fold,model,rmse_mps,mae_mps,r2,bias_mps
1,empirical_baseline,73.84756111891545,54.13786955321382,0.5148197265216664,-42.20440712709971
1,random_forest_profile,63.158451276128595,46.80476406117362,0.6451099974891226,-29.631013624885558
1,extra_trees_profile,62.323655462863464,46.81647598766645,0.6544295033313252,-30.685535122167277
2,empirical_baseline,69.3546819678586,46.02386306084773,0.5210549071934406,-12.047643780883101
2,random_forest_profile,68.70851393326782,45.90156134625798,0.5299378640139376,-13.050228555148164
2,extra_trees_profile,70.96892306952921,46.692130019926914,0.4985004025432187,-15.354625033362622
3,empirical_baseline,61.64194060219446,46.76452950678627,0.10862072922171517,11.873093950969974
3,random_forest_profile,67.01212167310806,50.21086449251868,-0.05345663226848085,19.364040838901005
3,extra_trees_profile,67.88109155189397,51.07629678700009,-0.08095486273697139,21.05359408532967
0,base_weighted_stack,66.09254300322333,47.355891668495275,0.5270504503866087,-9.307533276429293
0,specialist_weighted_stack,65.17320428369617,46.6594507448033,0.5401162760323663,-5.24905642720352
